year,temp_anomaly,lowess
1880,-0.16,-0.1908661625301131
1881,-0.08,-0.1943583209667047
1882,-0.1,-0.19776327825951587
1883,-0.17,-0.20110412044911513
1884,-0.28,-0.20441928074317547
1885,-0.33,-0.20775513112090005
1886,-0.31,-0.21115490441545462
1887,-0.36,-0.21465289325362777
1888,-0.17,-0.2182726006314933
1889,-0.1,-0.2220248874759651
1890,-0.35,-0.22591920773544205
1891,-0.22,-0.2299671290321688
1892,-0.27,-0.23416385645240353
1893,-0.31,-0.23848224054669762
1894,-0.31,-0.24284877793652745
1895,-0.23,-0.2470851513601493
1896,-0.11,-0.25080386552272305
1897,-0.1,-0.2534274966632502
1898,-0.27,-0.25900999824732657
1899,-0.18,-0.2647513904050854
1900,-0.08,-0.2704459019226775
1901,-0.16,-0.27597977801901097
1902,-0.27,-0.28134677500472716
1903,-0.36,-0.2865081573389589
1904,-0.46,-0.291399821513184
1905,-0.26,-0.29597517847526594
1906,-0.22,-0.30026118157864606
1907,-0.38,-0.30434801736614875
1908,-0.42,-0.3082044810169085
1909,-0.48,-0.3117494486199285
1910,-0.43,-0.3147190569095516
1911,-0.44,-0.31666602839205316
1912,-0.36,-0.3172109535421875
1913,-0.35,-0.31619097914339117
1914,-0.15,-0.31366867145068994
1915,-0.14,-0.30964506293873484
1916,-0.35,-0.3041013164186734
1917,-0.46,-0.29725708637004294
1918,-0.3,-0.2894977411211181
1919,-0.27,-0.28113234350647753
1920,-0.27,-0.2723762532586948
1921,-0.18,-0.2633191585634228
1922,-0.29,-0.2539756834966538
1923,-0.27,-0.24447887774232033
1924,-0.27,-0.23489884942912917
1925,-0.22,-0.22504410117361492
1926,-0.1,-0.21458477597096562
1927,-0.22,-0.20318909365745402
1928,-0.2,-0.1906242175172866
1929,-0.36,-0.17676489890588992
1930,-0.15,-0.1617344856103468
1931,-0.09,-0.14599898436020617
1932,-0.16,-0.1302663299304847
1933,-0.28,-0.11524837097852601
1934,-0.12,-0.10141616535613589
1935,-0.19,-0.0890101120467895
1936,-0.14,-0.07813591437148243
1937,-0.02,-0.06865347268554978
1938,0.0,-0.060251947226572525
1939,-0.01,-0.05276772052146137
1940,0.13,-0.04610633601702191
1941,0.19,-0.040214256982045546
1942,0.07,-0.03496280477122464
1943,0.09,-0.0302538744311952
1944,0.21,-0.026095114348353023
1945,0.09,-0.022494263192331245
1946,-0.07,-0.01945360334501184
1947,-0.03,-0.01704017188892305
1948,-0.11,-0.015476482551984663
1949,-0.11,-0.015138046599285356
1950,-0.17,-0.01620902454011403
1951,-0.07,-0.018572657977111977
1952,0.01,-0.021881572892311553
1953,0.08,-0.025616211251804626
1954,-0.13,-0.02919694375423992
1955,-0.14,-0.032200884974987826
1956,-0.19,-0.034367752352231225
1957,0.05,-0.035478886183962034
1958,0.06,-0.03536039654975051
1959,0.03,-0.03406115763562145
1960,-0.03,-0.03180195447318491
1961,0.06,-0.028927194811025497
1962,0.03,-0.025676355457068274
1963,0.05,-0.022208631120631647
1964,-0.2,-0.018490497703754907
1965,-0.11,-0.014351447691761264
1966,-0.06,-0.009504701709824056
1967,-0.02,-0.003725134529160991
1968,-0.08,0.003167071267588645
1969,0.05,0.011088197071258656
1970,0.02,0.01974628463854295
1971,-0.08,0.02892096898328784
1972,0.01,0.03875223499978162
1973,0.16,0.049571951300482434
1974,-0.07,0.061614366749091744
1975,-0.01,0.074933026654156
1976,-0.1,0.08946169941376583
1977,0.18,0.10494329891453077
1978,0.07,0.12101631782578892
1979,0.16,0.13728879237626648
1980,0.26,0.1535310194061175
1981,0.32,0.16963810898141246
1982,0.14,0.18576827437204244
1983,0.31,0.20211630299846323
1984,0.16,0.21865870167550566
1985,0.12,0.23522730266041178
1986,0.18,0.25173694577228145
1987,0.32,0.2681842678347582
1988,0.39,0.2846513297142666
1989,0.27,0.3012035581860611
1990,0.45,0.31785268139417805
1991,0.4,0.33459080793472284
1992,0.22,0.35151637923033185
1993,0.23,0.3686508856768572
1994,0.31,0.38604090630650234
1995,0.45,0.4036895599336893
1996,0.33,0.42155469757344943
1997,0.46,0.4394651542963777
1998,0.61,0.45720181148060013
1999,0.38,0.47466958633744033
2000,0.39,0.49204390322646835
2001,0.53,0.5096528527193386
2002,0.62,0.5279480367272542
2003,0.61,0.5472812826372596
2004,0.53,0.5678107016497821
2005,0.67,0.5905304665887628
2006,0.63,0.6135958263873729
2007,0.66,0.6365113208842662
2008,0.54,0.6592047354227669
2009,0.65,0.6816997311937796
2010,0.72,0.7040418592536593
2011,0.61,0.7262743595744775
2012,0.64,0.7484339302533984
2013,0.67,0.7705599028187514
2014,0.74,0.7926943070488499
2015,0.9,0.8148797727879784
2016,1.01,0.8371541466729651
2017,0.92,0.8595402623306919
2018,0.85,0.882043323261441
2019,0.97,0.9046595804696574
2020,1.01,0.9273841911663764
2021,0.84,0.9502046693074272
